time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010455300000	-2.87306	6.7111	-5.01847	1.24109	0	lidar	2.77274	-2.74651	6.86867	-2.88957	6.61214	-1.72295	-4.90566
1477010455350000	-2.89757	6.50782	-4.66939	1.2571	-0.0117929	radar	2.66874	-2.57673	6.36755	-2.97559	6.36681	-1.71797	-4.90774
1477010455400000	-2.95441	6.28019	-4.65731	1.26396	0	lidar	0.284516	-2.90217	6.22989	-3.0614	6.12139	-1.71464	-4.90911
1477010455450000	-3.09794	6.01208	-5.07739	1.24082	0.0121065	radar	4.04058	-3.50172	6.10796	-3.14709	5.87592	-1.71297	-4.90976
1477010455500000	-3.2008	5.71974	-5.24631	1.23451	0	lidar	2.02926	-3.1778	5.53101	-3.23274	5.63043	-1.71295	-4.9097
1477010455550000	-3.30729	5.46743	-5.10833	1.21171	-0.0201808	radar	1.5979	-3.19736	5.19093	-3.31843	5.38496	-1.71458	-4.90893
1477010455600000	-3.41852	5.19744	-5.23614	1.2028	0	lidar	0.52602	-3.43031	5.10507	-3.40424	5.13955	-1.71787	-4.90745
1477010455650000	-3.48633	4.94993	-5.34512	1.22872	0.0193849	radar	0.576679	-3.4281	4.94644	-3.49026	4.89422	-1.72281	-4.90525
1477010455700000	-3.62621	4.64339	-5.6174	1.21128	0	lidar	1.31113	-3.69435	4.52196	-3.57657	4.64902	-1.72939	-4.90233
1477010455750000	-3.72677	4.38851	-5.44104	1.19251	-0.0273558	radar	1.67746	-3.50501	4.17643	-3.66325	4.40398	-1.73763	-4.89868
1477010455800000	-3.88222	4.09487	-5.69836	1.17247	0	lidar	1.12265	-4.00238	4.04684	-3.75039	4.15913	-1.74749	-4.8943
1477010455850000	-3.9476	3.86745	-5.60191	1.20844	0.0322404	radar	1.91481	-4.06447	4.10977	-3.83806	3.91452	-1.75899	-4.88918
1477010455900000	-3.99325	3.66419	-5.27354	1.22428	0	lidar	1.40215	-3.88053	3.75177	-3.92635	3.67019	-1.77212	-4.8833
1477010455950000	-4.05865	3.49929	-4.84245	1.21345	-0.0185581	radar	3.71997	-4.23729	3.88878	-4.01533	3.42616	-1.78686	-4.87666
1477010456000000	-4.15052	3.25615	-4.91723	1.21143	0	lidar	0.0865068	-4.15119	3.21968	-4.10509	3.18248	-1.8032	-4.86925
1477010456050000	-4.27261	2.98718	-5.08349	1.18971	-0.0182307	radar	0.820434	-4.27467	2.88187	-4.19571	2.93919	-1.82113	-4.86104
1477010456100000	-4.37651	2.69286	-5.31889	1.19112	0	lidar	1.37471	-4.32451	2.55034	-4.28727	2.69633	-1.84065	-4.85202
1477010456150000	-4.46085	2.44695	-5.29937	1.20556	0.0129729	radar	0.226369	-4.38481	2.39989	-4.37985	2.45393	-1.86173	-4.84218
1477010456200000	-4.57416	2.16112	-5.48988	1.20553	0	lidar	0.427551	-4.61223	2.09192	-4.47352	2.21205	-1.88436	-4.83149
1477010456250000	-4.67168	1.94323	-5.34461	1.16588	-0.0537655	radar	3.94055	-4.29257	1.92854	-4.56836	1.97072	-1.90853	-4.81994
1477010456300000	-4.8029	1.6392	-5.63263	1.16584	0	lidar	1.02639	-4.86829	1.53442	-4.66444	1.72998	-1.93422	-4.80751
1477010456350000	-4.92266	1.38715	-5.6475	1.15403	-0.0118915	radar	0.193259	-4.98165	1.43611	-4.76186	1.48989	-1.9614	-4.79417
1477010456400000	-4.9686	1.19507	-5.25721	1.1563	0	lidar	5.57054	-4.66779	1.28643	-4.86066	1.25049	-1.99007	-4.7799
1477010456450000	-5.05619	1.01069	-4.98486	1.15272	0.00380061	radar	0.847897	-4.98594	1.10894	-4.96095	1.01182	-2.02019	-4.76468
1477010456500000	-5.10687	0.804786	-4.81283	1.15976	0	lidar	3.41915	-4.85498	0.825661	-5.06277	0.77393	-2.05174	-4.74848
1477010456550000	-5.21698	0.451555	-5.43913	1.17594	-0.0169878	radar	6.11777	-4.84736	0.18101	-5.16621	0.536876	-2.08471	-4.73127
1477010456600000	-5.2885	0.221644	-5.30808	1.17809	0	lidar	1.54532	-5.1231	0.257311	-5.27133	0.300706	-2.11906	-4.71303
1477010456650000	-5.3996	-0.00234009	-5.1189	1.18499	0.0247261	radar	5.5075	-5.99809	-0.290765	-5.3782	0.0654719	-2.15477	-4.69374
1477010456700000	-5.46378	-0.229756	-5.0443	1.19182	0	lidar	1.44307	-5.29972	-0.212982	-5.4869	-0.168772	-2.1918	-4.67335
1477010456750000	-5.58042	-0.383552	-4.95458	1.14652	-0.0249883	radar	3.26416	-5.64447	-0.144522	-5.59748	-0.401971	-2.23014	-4.65185
1477010456800000	-5.71169	-0.550951	-4.79953	1.11913	0	lidar	1.84687	-5.85359	-0.445801	-5.71001	-0.634069	-2.26974	-4.62919
1477010456850000	-5.82505	-0.808954	-5.31748	1.10279	-0.0396165	radar	5.1021	-5.30947	-0.724468	-5.82456	-0.865006	-2.31058	-4.60536
1477010456900000	-5.92887	-1.11847	-5.52523	1.12945	0	lidar	1.63411	-5.87835	-1.26863	-5.94118	-1.09472	-2.35262	-4.58032
1477010456950000	-6.01486	-1.41225	-5.54751	1.1598	0.0086165	radar	2.58507	-5.68069	-1.52871	-6.05993	-1.32316	-2.39581	-4.55404
1477010457000000	-6.15569	-1.61139	-5.40748	1.13218	0	lidar	1.48019	-6.27263	-1.50938	-6.18087	-1.55025	-2.44014	-4.52648
1477010457050000	-6.29029	-1.87506	-5.8311	1.11137	-0.0318054	radar	2.03269	-6.11355	-1.75966	-6.30406	-1.77593	-2.48555	-4.49762
1477010457100000	-6.40481	-2.14	-5.82883	1.11549	0	lidar	0.226888	-6.34007	-2.13685	-6.42954	-2.00014	-2.532	-4.46742
1477010457150000	-6.55634	-2.32665	-5.44261	1.09288	0.0154234	radar	4.14481	-6.99344	-2.17445	-6.55738	-2.22281	-2.57946	-4.43585
1477010457200000	-6.70798	-2.52307	-5.34042	1.06981	0	lidar	0.844011	-6.79288	-2.4458	-6.68761	-2.44386	-2.62788	-4.40288
1477010457250000	-6.86209	-2.73859	-5.39073	1.05191	-0.00464916	radar	1.33477	-7.14408	-2.67584	-6.82029	-2.66323	-2.6772	-4.36847
1477010457300000	-6.95092	-3.02398	-5.48019	1.08333	0	lidar	1.74219	-6.8003	-3.10086	-6.95546	-2.88084	-2.7274	-4.3326
1477010457350000	-7.07775	-3.24871	-5.33281	1.08205	0.00631401	radar	0.188376	-7.13937	-3.22028	-7.09316	-3.09663	-2.7784	-4.29523
1477010457400000	-7.20048	-3.42062	-5.16803	1.06095	0	lidar	1.8108	-7.12118	-3.26434	-7.23344	-3.3105	-2.83017	-4.25632
1477010457450000	-7.34244	-3.68937	-5.36012	1.06803	-0.00112768	radar	4.24898	-7.77186	-4.08999	-7.37632	-3.5224	-2.88265	-4.21586
1477010457500000	-7.50403	-3.78928	-5.06248	1.01034	0	lidar	5.73385	-7.49009	-3.49081	-7.52184	-3.73223	-2.93579	-4.1738
1477010457550000	-7.64501	-4.00771	-5.25802	1.00415	-0.00841493	radar	0.641251	-7.52393	-3.88213	-7.67004	-3.93992	-2.98953	-4.13012
1477010457600000	-7.79991	-4.24346	-5.30685	1.00382	0	lidar	0.506008	-7.88049	-4.29783	-7.82094	-4.14538	-3.04381	-4.08479
1477010457650000	-7.94641	-4.47294	-5.30922	1.00478	0.00123412	radar	0.352983	-8.08524	-4.57834	-7.97457	-4.34854	-3.09857	-4.03778
1477010457700000	-8.10893	-4.7174	-5.37906	1.00498	0	lidar	1.06946	-8.22492	-4.79812	-8.13095	-4.5493	-3.15376	-3.98906
1477010457750000	-8.24713	-4.91869	-5.02473	1.00594	0.0123075	radar	1.25488	-8.453	-4.95621	-8.2901	-4.74759	-3.2093	-3.93862
1477010457800000	-8.37316	-5.12668	-5.00734	1.00777	0	lidar	0.0986973	-8.33552	-5.1059	-8.45204	-4.94331	-3.26514	-3.88641
1477010457850000	-8.52065	-5.28481	-4.86332	0.984934	0.000494781	radar	3.04996	-8.55062	-4.79248	-8.61678	-5.13637	-3.32121	-3.83242
1477010457900000	-8.70765	-5.47586	-4.89921	0.96245	0	lidar	2.45306	-8.91477	-5.51752	-8.78433	-5.32669	-3.37745	-3.77663
1477010457950000	-8.86364	-5.68202	-5.03351	0.956317	-0.00287733	radar	0.46409	-9.04115	-5.69364	-8.95469	-5.51417	-3.43377	-3.71901
1477010458000000	-9.02047	-5.85989	-4.99099	0.941983	0	lidar	0.230867	-9.03391	-5.80267	-9.12788	-5.69872	-3.49012	-3.65955
1477010458050000	-9.15725	-6.01033	-4.78948	0.928662	0.00104839	radar	5.0277	-8.86897	-5.41973	-9.30388	-5.88026	-3.54643	-3.59823
1477010458100000	-9.3325	-6.08832	-4.59935	0.876107	0	lidar	4.43912	-9.30811	-5.82368	-9.4827	-6.05868	-3.60261	-3.53503
1477010458150000	-9.50557	-6.28443	-4.86085	0.871471	-0.00346625	radar	1.57468	-9.80646	-6.41174	-9.66432	-6.23389	-3.6586	-3.46994
1477010458200000	-9.64628	-6.49934	-4.89584	0.887489	0	lidar	0.272695	-9.62547	-6.55958	-9.84874	-6.4058	-3.71431	-3.40295
1477010458250000	-9.86503	-6.67403	-5.18205	0.854936	-0.0043903	radar	7.47442	-10.6688	-6.35543	-10.0359	-6.57431	-3.76969	-3.33404
1477010458300000	-10.0802	-6.8426	-5.19416	0.828627	0	lidar	1.23369	-10.2246	-6.83402	-10.2259	-6.73933	-3.82463	-3.26321
1477010458350000	-10.2578	-7.0143	-5.17714	0.820139	-0.000598436	radar	0.889476	-10.2205	-6.71044	-10.4186	-6.90075	-3.87907	-3.19046
1477010458400000	-10.5011	-7.20071	-5.26823	0.796014	0	lidar	4.15302	-10.7616	-7.29159	-10.614	-7.05849	-3.93293	-3.11577
1477010458450000	-10.6991	-7.35102	-5.18703	0.777051	0.000335733	radar	2.26456	-10.8944	-6.83335	-10.8121	-7.21245	-3.98613	-3.03916
1477010458500000	-10.9586	-7.5128	-5.26504	0.744597	0	lidar	4.05586	-11.2219	-7.56979	-11.0128	-7.36252	-4.03859	-2.96062
1477010458550000	-11.1351	-7.66299	-5.02803	0.740268	0.00161202	radar	1.3949	-10.986	-7.3707	-11.2161	-7.50862	-4.09021	-2.88015
1477010458600000	-11.2815	-7.80606	-4.92512	0.742719	0	lidar	2.77645	-11.0934	-7.6776	-11.422	-7.65064	-4.14093	-2.79777
1477010458650000	-11.4651	-7.94616	-4.91755	0.731488	-0.000565968	radar	1.9869	-11.4213	-7.46085	-11.6304	-7.78849	-4.19066	-2.71349
1477010458700000	-11.6455	-8.03396	-4.79436	0.702549	0	lidar	3.36061	-11.5269	-7.8215	-11.8413	-7.92208	-4.23932	-2.6273
1477010458750000	-11.8244	-8.16331	-4.59388	0.694225	0.00106552	radar	0.758725	-11.9422	-7.88317	-12.0546	-8.05131	-4.28682	-2.53924
1477010458800000	-12.0404	-8.23631	-4.54951	0.652476	0	lidar	1.65625	-12.09	-8.08828	-12.2702	-8.17609	-4.33309	-2.44932
1477010458850000	-12.2617	-8.3833	-5.08637	0.642921	-0.0016473	radar	2.56153	-12.4462	-8.02117	-12.4881	-8.29633	-4.37802	-2.35756
1477010458900000	-12.4792	-8.45713	-5.00177	0.606355	0	lidar	2.5185	-12.4231	-8.2599	-12.7082	-8.41193	-4.42156	-2.26399
1477010458950000	-12.6664	-8.56342	-4.6144	0.596368	0.000238922	radar	1.65469	-12.7461	-8.19449	-12.9304	-8.5228	-4.4636	-2.16863
1477010459000000	-12.9612	-8.64042	-4.73475	0.543045	0	lidar	6.35867	-13.2911	-8.64594	-13.1547	-8.62886	-4.50407	-2.07151
1477010459050000	-13.204	-8.75987	-4.97381	0.530658	0.000452123	radar	3.04444	-13.7929	-8.47158	-13.381	-8.73002	-4.54289	-1.97267
1477010459100000	-13.4377	-8.79512	-4.90524	0.486299	0	lidar	3.09743	-13.384	-8.57583	-13.6092	-8.82619	-4.57997	-1.87214
1477010459150000	-13.628	-8.86454	-4.46668	0.471311	-0.00216942	radar	3.34651	-13.6376	-8.26344	-13.8392	-8.91729	-4.61524	-1.76997
1477010459200000	-13.8632	-8.95868	-4.53194	0.458138	0	lidar	1.04031	-13.9959	-8.99264	-14.0709	-9.00324	-4.64861	-1.6662
1477010459250000	-14.1121	-9.06609	-5.01035	0.451895	0.00289357	radar	2.26592	-14.4737	-8.79552	-14.3043	-9.08395	-4.68001	-1.56086
1477010459300000	-14.3566	-9.17077	-5.04583	0.444953	0	lidar	0.29313	-14.4273	-9.1875	-14.5391	-9.15936	-4.70936	-1.45402
1477010459350000	-14.5647	-9.27009	-4.74969	0.443824	-0.00237282	radar	0.531856	-14.5757	-9.32634	-14.7754	-9.22939	-4.73658	-1.34573
1477010459400000	-14.874	-9.24474	-4.82722	0.362607	0	lidar	5.29251	-15.062	-9.04396	-15.013	-9.29397	-4.76161	-1.23603
1477010459450000	-15.1206	-9.34347	-4.83027	0.362812	-0.00141073	radar	4.29971	-15.6189	-9.69365	-15.2517	-9.35302	-4.78436	-1.125
1477010459500000	-15.4073	-9.4422	-4.97137	0.354176	0	lidar	4.51142	-15.6682	-9.56749	-15.4916	-9.40649	-4.80476	-1.01269
1477010459550000	-15.624	-9.5095	-4.56373	0.345021	-0.00555628	radar	1.74798	-15.9382	-9.35751	-15.7324	-9.45431	-4.82275	-0.899159
1477010459600000	-15.8939	-9.56722	-4.67014	0.323373	0	lidar	2.13633	-16.0862	-9.59819	-15.9741	-9.49642	-4.83827	-0.784484
1477010459650000	-16.1237	-9.61272	-4.56341	0.306807	-0.00176361	radar	2.72453	-16.6033	-8.85459	-16.2164	-9.53277	-4.85124	-0.668734
1477010459700000	-16.3873	-9.57722	-4.59735	0.248478	0	lidar	2.98922	-16.4229	-9.37029	-16.4594	-9.5633	-4.8616	-0.55198
1477010459750000	-16.5753	-9.61792	-4.44531	0.247006	-0.000413226	radar	4.69935	-16.011	-9.33486	-16.7027	-9.58797	-4.8693	-0.434301
1477010459800000	-16.8844	-9.56839	-4.60411	0.179108	0	lidar	4.76387	-17.1132	-9.43043	-16.9464	-9.60673	-4.87427	-0.315773
1477010459850000	-17.1239	-9.65216	-4.77818	0.200104	0.00234784	radar	6.26996	-16.9255	-10.8571	-17.1903	-9.61954	-4.87646	-0.196479
1477010459900000	-17.4108	-9.64314	-4.88184	0.163429	0	lidar	1.49286	-17.5448	-9.57485	-17.4342	-9.62636	-4.87583	-0.0765024
1477010459950000	-17.6484	-9.66863	-4.60676	0.151597	-0.00753203	radar	2.22654	-18.1371	-9.39146	-17.6781	-9.62717	-4.87232	0.0440703
1477010460000000	-17.9229	-9.60431	-4.69362	0.0956294	0	lidar	2.4692	-17.9724	-9.42299	-17.9216	-9.62194	-4.86588	0.165151
1477010460050000	-18.1426	-9.60886	-4.46126	0.0843437	-0.00581134	radar	0.929057	-18.3083	-9.18778	-18.1648	-9.61064	-4.85648	0.286648
1477010460100000	-18.3463	-9.62965	-4.41884	0.0879957	0	lidar	0.288988	-18.2763	-9.60997	-18.4074	-9.59325	-4.84408	0.40847
1477010460150000	-18.5647	-9.64784	-4.57026	0.0910232	0.00488594	radar	1.33439	-18.2443	-9.58547	-18.6493	-9.56977	-4.82864	0.530522
1477010460200000	-18.8411	-9.6043	-4.68205	0.0530753	0	lidar	1.42372	-18.9545	-9.51544	-18.8904	-9.54017	-4.81012	0.652707
1477010460250000	-19.0514	-9.59727	-4.61187	0.0460081	0.000720298	radar	4.08457	-18.6983	-9.02886	-19.1305	-9.50447	-4.78851	0.774927
1477010460300000	-19.3305	-9.43905	-4.73471	-0.0432069	0	lidar	7.67192	-19.2983	-9.09865	-19.3694	-9.46265	-4.76378	0.897083
1477010460350000	-19.5413	-9.40501	-4.37276	-0.0619325	-0.0115937	radar	1.95722	-19.7037	-8.79906	-19.6069	-9.41472	-4.73591	1.01907
1477010460400000	-19.8222	-9.23901	-4.56787	-0.144024	0	lidar	5.47137	-19.8731	-8.96417	-19.8431	-9.36071	-4.70487	1.1408
1477010460450000	-20.0459	-9.16625	-4.50504	-0.16669	-0.0029174	radar	6.24721	-20.3815	-7.6755	-20.0775	-9.30061	-4.67066	1.26215
1477010460500000	-20.2018	-9.29636	-4.25525	-0.078982	0	lidar	6.44385	-20.1607	-9.59663	-20.3102	-9.23446	-4.63328	1.38303
1477010460550000	-20.4238	-9.29098	-4.31951	-0.0725608	0.00110638	radar	0.952276	-20.4587	-9.7448	-20.5409	-9.16227	-4.59271	1.50334
1477010460600000	-20.6744	-9.15281	-4.45307	-0.135873	0	lidar	3.78209	-20.6596	-8.91527	-20.7696	-9.08409	-4.54895	1.62296
1477010460650000	-20.9018	-9.10905	-4.28834	-0.149201	-0.00890337	radar	3.31152	-21.5568	-8.5005	-20.9959	-8.99994	-4.50202	1.74179
1477010460700000	-21.113	-9.00862	-4.32317	-0.18387	0	lidar	1.97252	-21.0195	-8.85081	-21.2198	-8.90987	-4.45191	1.85972
1477010460750000	-21.3298	-8.96294	-4.16051	-0.193082	-0.00874833	radar	2.38159	-21.8628	-8.64129	-21.4412	-8.81393	-4.39865	1.97666
1477010460800000	-21.5312	-8.90796	-4.16487	-0.2008	0	lidar	0.119306	-21.5029	-8.87191	-21.6597	-8.71217	-4.34224	2.0925
1477010460850000	-21.6953	-8.83545	-3.68152	-0.228996	-0.0166054	radar	6.64104	-21.9514	-7.41274	-21.8754	-8.60465	-4.2827	2.20712
1477010460900000	-21.9143	-8.70993	-3.8365	-0.273371	0	lidar	1.6781	-21.9793	-8.57089	-22.0881	-8.49143	-4.22007	2.32043
1477010460950000	-22.111	-8.63656	-4.04849	-0.27863	0.00758754	radar	2.61211	-22.1914	-7.70392	-22.2975	-8.37258	-4.15437	2.43232
1477010461000000	-22.3804	-8.48104	-4.3123	-0.330029	0	lidar	3.81637	-22.5838	-8.35296	-22.5035	-8.24817	-4.08564	2.5427
1477010461050000	-22.55	-8.41329	-3.98384	-0.340454	-0.012336	radar	1.0642	-22.3177	-8.57758	-22.7061	-8.11829	-4.01391	2.65145
1477010461100000	-22.8439	-8.0919	-4.51027	-0.470405	0	lidar	14.1374	-22.9861	-7.6724	-22.9049	-7.98301	-3.93923	2.75848
1477010461150000	-23.0154	-7.9924	-3.99373	-0.496788	-0.0324366	radar	3.75447	-23.2693	-8.32031	-23.1	-7.84243	-3.86163	2.8637
1477010461200000	-23.2766	-7.75144	-4.41485	-0.565958	0	lidar	5.3009	-23.4777	-7.56583	-23.2911	-7.69663	-3.78118	2.967
1477010461250000	-23.4686	-7.61934	-4.55075	-0.565732	0.00825872	radar	1.07858	-23.473	-7.02103	-23.4781	-7.54572	-3.69792	3.06828
1477010461300000	-23.6483	-7.45537	-4.59585	-0.586097	0	lidar	1.14209	-23.5408	-7.36069	-23.6609	-7.3898	-3.61191	3.16746
1477010461350000	-23.8288	-7.31422	-4.44535	-0.60354	-0.0127774	radar	1.39992	-24.0505	-6.56968	-23.8393	-7.22897	-3.52321	3.26445
1477010461400000	-23.9903	-7.22321	-4.33267	-0.590332	0	lidar	0.294048	-23.9384	-7.26171	-24.0132	-7.06336	-3.43189	3.35916
1477010461450000	-24.1423	-7.08786	-4.009	-0.616893	-0.022002	radar	3.57386	-24.3577	-5.94086	-24.1825	-6.89307	-3.33801	3.45149
1477010461500000	-24.341	-6.76432	-4.46582	-0.705968	0	lidar	8.01917	-24.2574	-6.4352	-24.347	-6.71823	-3.24166	3.54138
1477010461550000	-24.4911	-6.63579	-4.05809	-0.726778	-0.0336119	radar	4.10031	-24.788	-7.18367	-24.5066	-6.53896	-3.14289	3.62873
1477010461600000	-24.5831	-6.50362	-3.92449	-0.735992	0	lidar	4.46086	-24.3008	-6.43799	-24.6612	-6.35538	-3.0418	3.71347
1477010461650000	-24.7059	-6.37117	-3.73409	-0.749666	-0.0118512	radar	0.891669	-24.6108	-6.00878	-24.8107	-6.16764	-2.93846	3.79553
1477010461700000	-24.9241	-6.08875	-4.24196	-0.801477	0	lidar	5.44873	-25.146	-5.91902	-24.955	-5.97587	-2.83295	3.87484
1477010461750000	-25.0407	-5.92326	-4.03221	-0.82804	-0.0171627	radar	3.11053	-24.8975	-5.02285	-25.094	-5.7802	-2.72537	3.95132
1477010461800000	-25.1895	-5.71913	-4.19001	-0.848855	0	lidar	0.441587	-25.1941	-5.64372	-25.2276	-5.58079	-2.61581	4.02492
1477010461850000	-25.3296	-5.56106	-4.14039	-0.853491	-0.00683701	radar	0.437164	-25.5328	-5.4399	-25.3556	-5.37777	-2.50435	4.09557
1477010461900000	-25.5064	-5.26894	-4.56071	-0.898213	0	lidar	2.54505	-25.5713	-5.10241	-25.4779	-5.1713	-2.39109	4.16322
1477010461950000	-25.619	-5.12604	-4.34487	-0.89796	-0.00666631	radar	4.87565	-25.0178	-6.55904	-25.5946	-4.96152	-2.27613	4.22781
1477010462000000	-25.7471	-4.9356	-4.38722	-0.907252	0	lidar	0.222792	-25.6952	-4.89995	-25.7055	-4.7486	-2.15956	4.2893
1477010462050000	-25.8547	-4.76665	-4.1296	-0.930087	-0.0232679	radar	1.08587	-25.8162	-4.40681	-25.8105	-4.53268	-2.04149	4.34764
1477010462100000	-25.995	-4.4551	-4.55168	-0.979155	0	lidar	2.84918	-25.9516	-4.26659	-25.9096	-4.31392	-1.92202	4.40279
1477010462150000	-26.0929	-4.28801	-3.92691	-1.03452	-0.0768933	radar	13.4954	-26.8953	-4.43966	-26.0027	-4.0925	-1.80125	4.45471
1477010462200000	-26.2071	-3.92474	-4.50651	-1.09934	0	lidar	5.13804	-26.1198	-3.67723	-26.0897	-3.86856	-1.67928	4.50337
1477010462250000	-26.2732	-3.73229	-4.07484	-1.15749	-0.0676543	radar	5.38542	-26.5652	-3.85723	-26.1706	-3.64227	-1.55623	4.54875
1477010462300000	-26.312	-3.42658	-4.38976	-1.20736	0	lidar	7.36276	-25.9974	-3.24722	-26.2453	-3.41381	-1.4322	4.59081
1477010462350000	-26.3538	-3.21813	-4.15349	-1.25735	-0.0493925	radar	2.47941	-26.2976	-3.01078	-26.3138	-3.18332	-1.30729	4.62954
1477010462400000	-26.3848	-2.96396	-4.30599	-1.28351	0	lidar	2.80793	-26.1741	-2.87885	-26.376	-2.95098	-1.18162	4.66493
1477010462450000	-26.4305	-2.77548	-4.13646	-1.30573	-0.0280896	radar	1.54627	-26.4681	-3.44967	-26.4319	-2.71697	-1.05529	4.69696
1477010462500000	-26.5071	-2.6482	-3.90904	-1.28499	0	lidar	2.06344	-26.674	-2.73852	-26.4815	-2.48143	-0.928411	4.72562
1477010462550000	-26.552	-2.45051	-3.85723	-1.30615	-0.02074	radar	1.30709	-26.657	-1.72382	-26.5247	-2.24456	-0.80109	4.75091
1477010462600000	-26.6156	-2.21677	-4.03637	-1.31108	0	lidar	0.336432	-26.6691	-2.17333	-26.5616	-2.0065	-0.673434	4.77284
1477010462650000	-26.6365	-2.01395	-3.95186	-1.3429	-0.022794	radar	2.81752	-26.3248	-1.32261	-26.5921	-1.76744	-0.545553	4.79141
1477010462700000	-26.6563	-1.68407	-4.41166	-1.3766	0	lidar	3.74865	-26.4671	-1.53207	-26.6161	-1.52753	-0.417552	4.80664
1477010462750000	-26.6437	-1.49538	-4.0946	-1.45011	-0.0723594	radar	5.6117	-26.4998	-2.19526	-26.6338	-1.28695	-0.289538	4.81852
